# Simulation     CPU Time      Wallclock      TQ Time       PF Time      Diff Time      ATC Time     List Time     Seed Time   Enthalpy Time  Volume Time    Stress Time   Temp1d Time    Temp Time     Flow Time  Expansion Time
#  time [s]        [s]         Time [s]         [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]          [s]
  11.20830      12.25000      12.37600      0.000000      5.168000      0.000000      0.000000      6.062000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.31507      12.31250      12.43900      0.000000      5.199000      0.000000      0.000000      6.094000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.41858      12.39062      12.51700      0.000000      5.199000      0.000000      0.000000      6.156000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.50293      12.45312      12.58000      0.000000      5.215000      0.000000      0.000000      6.188000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.60637      12.53125      12.65800      0.000000      5.246000      0.000000      0.000000      6.235000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.70311      12.62500      12.75100      0.000000      5.246000      0.000000      0.000000      6.313000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.81735      12.68750      12.81400      0.000000      5.278000      0.000000      0.000000      6.344000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.91353      12.76562      12.89200      0.000000      5.293000      0.000000      0.000000      6.391000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.00427      12.84375      12.97000      0.000000      5.308000      0.000000      0.000000      6.438000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.10502      12.95312      13.08000      0.000000      5.370000      0.000000      0.000000      6.470000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.21383      13.03125      13.15800      0.000000      5.401000      0.000000      0.000000      6.517000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.30916      13.09375      13.22000      0.000000      5.417000      0.000000      0.000000      6.563000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.40755      13.17188      13.29800      0.000000      5.448000      0.000000      0.000000      6.594000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.50655      13.23438      13.36100      0.000000      5.448000      0.000000      0.000000      6.657000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.60536      13.29688      13.42300      0.000000      5.463000      0.000000      0.000000      6.704000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.70540      13.39062      13.51700      0.000000      5.510000      0.000000      0.000000      6.751000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.80603      13.48438      13.61100      0.000000      5.557000      0.000000      0.000000      6.798000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  12.90550      13.56250      13.68900      0.000000      5.573000      0.000000      0.000000      6.844000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.00435      13.62500      13.75100      0.000000      5.604000      0.000000      0.000000      6.875000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.10888      13.73438      13.85700      0.000000      5.629000      0.000000      0.000000      6.937000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.20611      13.79688      13.93400      0.000000      5.632000      0.000000      0.000000      6.983000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.30152      13.85938      13.99700      0.000000      5.663000      0.000000      0.000000      7.015000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.40339      13.95312      14.09100      0.000000      5.678000      0.000000      0.000000      7.079000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.51099      14.03125      14.16900      0.000000      5.740000      0.000000      0.000000      7.095000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.60400      14.09375      14.23100      0.000000      5.771000      0.000000      0.000000      7.126000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.70022      14.15625      14.29400      0.000000      5.803000      0.000000      0.000000      7.142000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.80374      14.23438      14.37200      0.000000      5.849000      0.000000      0.000000      7.174000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  13.90066      14.31250      14.45000      0.000000      5.880000      0.000000      0.000000      7.206000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.00855      14.40625      14.54400      0.000000      5.896000      0.000000      0.000000      7.269000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.11182      14.46875      14.60600      0.000000      5.942000      0.000000      0.000000      7.285000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.20155      14.53125      14.66900      0.000000      5.958000      0.000000      0.000000      7.332000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.30006      14.59375      14.73100      0.000000      5.989000      0.000000      0.000000      7.348000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.40010      14.65625      14.79400      0.000000      6.020000      0.000000      0.000000      7.364000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.51937      14.71875      14.85600      0.000000      6.051000      0.000000      0.000000      7.395000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.60769      14.79688      14.93400      0.000000      6.067000      0.000000      0.000000      7.457000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.70966      14.85938      14.99700      0.000000      6.099000      0.000000      0.000000      7.488000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.80341      14.93750      15.07500      0.000000      6.147000      0.000000      0.000000      7.503000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  14.90213      15.00000      15.13800      0.000000      6.179000      0.000000      0.000000      7.534000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.00000      15.09375      15.23100      0.000000      6.194000      0.000000      0.000000      7.596000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.11060      15.20312      15.35600      0.000000      6.210000      0.000000      0.000000      7.643000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.20018      15.26562      15.41900      0.000000      6.210000      0.000000      0.000000      7.690000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.30701      15.35938      15.51300      0.000000      6.257000      0.000000      0.000000      7.737000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.40090      15.42188      15.57500      0.000000      6.319000      0.000000      0.000000      7.737000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.50731      15.50000      15.65300      0.000000      6.351000      0.000000      0.000000      7.783000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.61145      15.54688      15.70000      0.000000      6.367000      0.000000      0.000000      7.814000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.70430      15.62500      15.77800      0.000000      6.383000      0.000000      0.000000      7.876000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.80222      15.68750      15.84100      0.000000      6.399000      0.000000      0.000000      7.923000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  15.90526      15.75000      15.90300      0.000000      6.399000      0.000000      0.000000      7.985000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  16.00055      15.81250      15.96600      0.000000      6.446000      0.000000      0.000000      8.001000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  16.11179      15.87500      16.02800      0.000000      6.477000      0.000000      0.000000      8.032000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
